LONGITUDE,LATITUDE,INSTITUICAO,ALT_ORTOMETRICA,GRAV_OBS,GRAV_ARLIVRE,GRAV_BOUGUER,FONTE
-61.6000306,-12.17018824,SGB,306.47,978217.22,47.04,12.74,SGB
-61.60177098,-12.17815745,SGB,299.87,978214.36,41.84,8.28,SGB
-61.60538006,-12.18644101,SGB,323.02,978207.61,41.92,5.76,SGB
-61.60949032,-12.19471295,SGB,355.78,978198.52,42.62,2.8,SGB
-61.60871767,-12.2040454,SGB,327.48,978201.14,36.15,-0.5,SGB
-61.60363112,-12.21153367,SGB,312.38,978202.19,32.25,-2.71,SGB
-61.59923871,-12.21995875,SGB,334.79,978194.16,30.81,-6.66,SGB
-61.59925327,-12.22943552,SGB,357.97,978187.36,30.8,-9.26,SGB
-61.59934505,-12.23803329,SGB,369.76,978183.64,30.39,-11,SGB
-61.59931924,-12.2477508,SGB,426.66,978169.76,33.69,-14.06,SGB
-61.60862626,-12.24827264,SGB,377.3,978179.9,28.58,-13.65,SGB
-61.60867133,-12.25982543,SGB,434.2,978165.59,31.39,-17.21,SGB
-61.65409911,-12.25812874,SGB,425.35,978167.87,31,-16.61,SGB
-61.65416123,-12.26739223,SGB,443.24,978160.44,28.74,-20.87,SGB
-61.65425021,-12.27758805,SGB,417.92,978164.59,24.67,-22.1,SGB
-61.65399267,-12.28593905,SGB,446.29,978156.08,24.6,-25.35,SGB
-61.65395352,-12.29523655,SGB,450.2,978153.86,23.22,-27.17,SGB
-61.65408634,-12.30451612,SGB,469.94,978147.49,22.59,-30.01,SGB
-61.654134,-12.3143269,SGB,481.71,978142.07,20.42,-33.49,SGB
-61.65395644,-12.32272134,SGB,474.29,978141.2,16.93,-36.15,SGB
-61.65419608,-12.33223384,SGB,481.19,978138.92,16.41,-37.45,SGB
-61.65404263,-12.34115388,SGB,461.73,978140.92,12.07,-39.61,SGB
-61.65407936,-12.35093916,SGB,454.84,978142.86,11.5,-39.41,SGB
-61.65354031,-12.35995016,SGB,457.01,978143.98,12.94,-38.21,SGB
-61.65394193,-12.36910022,SGB,458.93,978145.53,14.73,-36.64,SGB
-61.65417455,-12.37870451,SGB,428.49,978152.43,11.86,-36.1,SGB
-61.65424232,-12.38796365,SGB,430.18,978151.89,11.48,-36.67,SGB
-61.65449164,-12.39645173,SGB,461.08,978150.08,18.87,-32.73,SGB
-61.6545142,-12.40591461,SGB,459.55,978151.97,19.93,-31.51,SGB
-61.65431733,-12.41546161,SGB,433.94,978159.46,19.14,-29.43,SGB
-61.65427485,-12.42498219,SGB,450.08,978155.98,20.26,-30.11,SGB
-61.65426564,-12.43457371,SGB,446.76,978159.56,22.44,-27.56,SGB
-61.65423339,-12.44406408,SGB,453.03,978160.67,25.12,-25.59,SGB
-61.48492422,-11.81919751,SGB,231.87,978221.67,41.7,15.75,SGB
-61.48588432,-11.82940189,SGB,221.43,978227.55,43.98,19.2,SGB
-61.48515944,-11.83744574,SGB,233.93,978225.39,45.38,19.2,SGB
-61.48288937,-11.84640047,SGB,234.52,978224.96,44.8,18.55,SGB
-61.47907959,-11.85479257,SGB,217.93,978230.39,44.8,20.41,SGB
-61.48556281,-11.86140549,SGB,233.75,978227.74,46.78,20.62,SGB
-61.48620879,-11.87005365,SGB,234.07,978226.06,44.88,18.68,SGB
-61.48743544,-11.87896661,SGB,228.06,978224.85,41.48,15.95,SGB
-61.48661238,-11.88828851,SGB,243.13,978224.25,45.18,17.97,SGB
-61.48425424,-11.89677443,SGB,247.76,978224.95,47,19.27,SGB
-61.48853926,-11.90606872,SGB,243.14,978227.36,47.63,20.42,SGB
-61.49750331,-11.90708634,SGB,260.93,978225.17,50.89,21.69,SGB
-61.50703744,-11.90651346,SGB,259.91,978224.35,49.78,20.69,SGB
-60.012073,-13.723568,SGB,470.38,978180.92,-1.88,-54.53,SGB
-60.020311,-13.726425,SGB,458.25,978182.52,-4.15,-55.44,SGB
-60.029613,-13.72682,SGB,479.28,978177.75,-2.44,-56.09,SGB
-60.038257,-13.724672,SGB,408.03,978190.97,-11.12,-56.79,SGB
-60.047242,-13.727491,SGB,393.27,978191.94,-14.82,-58.84,SGB
-60.05617,-13.724359,SGB,363.1,978196.92,-19.02,-59.66,SGB
-60.064747,-13.728004,SGB,365.96,978194.68,-20.53,-61.49,SGB
-60.072935,-13.723046,SGB,320.45,978202.74,-26.31,-62.18,SGB
-60.082241,-13.723062,SGB,290.43,978208.04,-30.27,-62.78,SGB
-60.091857,-13.724686,SGB,288.65,978208.25,-30.68,-62.99,SGB
-60.101637,-13.725771,SGB,274.66,978211.6,-31.7,-62.44,SGB
-60.110928,-13.72769,SGB,272.21,978213.43,-30.7,-61.17,SGB
-60.120377,-13.728572,SGB,271.44,978214.39,-30.02,-60.4,SGB
-60.129778,-13.726,SGB,267.54,978216.53,-28.97,-58.92,SGB
-60.139388,-13.725461,SGB,266.48,978218.88,-26.93,-56.75,SGB
-60.147873,-13.729027,SGB,263.94,978222.45,-24.29,-53.83,SGB
-60.156763,-13.732964,SGB,267.44,978225.78,-20.05,-49.99,SGB
-60.165618,-13.73501,SGB,272.21,978227.93,-16.52,-46.99,SGB
-60.167938,-13.725995,SGB,268.88,978227.87,-17.22,-47.31,SGB
